"Site","Wetland_Type","Transect","ANPP.g.m.2.y.1"
"BA-01-04","Estuarine Herbaceous",1,63.46210837
"BA-01-04","Estuarine Herbaceous",2,66.1888631
"BA-01-04","Estuarine Herbaceous",3,NA
"BA-01-04","Estuarine Herbaceous",4,NA
"BA-01-04","Estuarine Herbaceous",5,NA
"CRMS0175","Estuarine Herbaceous",1,66.73131782
"CRMS0175","Estuarine Herbaceous",2,58.94632164
"CRMS0175","Estuarine Herbaceous",3,64.2331291
"CRMS0175","Estuarine Herbaceous",4,NA
"CRMS0175","Estuarine Herbaceous",5,NA
"CRMS0211","Palustrine Herbaceous",1,58.99461019
"CRMS0211","Palustrine Herbaceous",2,62.89287265
"CRMS0211","Palustrine Herbaceous",3,58.4280041
"CRMS0211","Palustrine Herbaceous",4,NA
"CRMS0211","Palustrine Herbaceous",5,NA
"CRMS0224","Estuarine Herbaceous",1,68.86574516
"CRMS0224","Estuarine Herbaceous",2,70.316118
"CRMS0224","Estuarine Herbaceous",3,67.00349901
"CRMS0224","Estuarine Herbaceous",4,NA
"CRMS0224","Estuarine Herbaceous",5,NA
"CRMS0225","Estuarine Herbaceous",1,72.45748744
"CRMS0225","Estuarine Herbaceous",2,58.16920685
"CRMS0225","Estuarine Herbaceous",3,69.98296482
"CRMS0225","Estuarine Herbaceous",4,NA
"CRMS0225","Estuarine Herbaceous",5,NA
"CRMS0237","Estuarine Herbaceous",1,61.08864547
"CRMS0237","Estuarine Herbaceous",2,56.51218605
"CRMS0237","Estuarine Herbaceous",3,60.8266364
"CRMS0237","Estuarine Herbaceous",4,NA
"CRMS0237","Estuarine Herbaceous",5,NA
"CRMS0253","Estuarine Herbaceous",1,73.84920273
"CRMS0253","Estuarine Herbaceous",2,65.48952164
"CRMS0253","Estuarine Herbaceous",3,69.56218679
"CRMS0253","Estuarine Herbaceous",4,NA
"CRMS0253","Estuarine Herbaceous",5,NA
"CRMS0273","Palustrine Herbaceous",1,88.14697556
"CRMS0273","Palustrine Herbaceous",2,NA
"CRMS0273","Palustrine Herbaceous",3,83.06456852
"CRMS0273","Palustrine Herbaceous",4,NA
"CRMS0273","Palustrine Herbaceous",5,NA
"CRMS0305","Estuarine Herbaceous",1,70.95546697
"CRMS0305","Estuarine Herbaceous",2,68.5440205
"CRMS0305","Estuarine Herbaceous",3,71.38416856
"CRMS0305","Estuarine Herbaceous",4,NA
"CRMS0305","Estuarine Herbaceous",5,NA
"CRMS0309","Estuarine Herbaceous",1,NA
"CRMS0309","Estuarine Herbaceous",2,85.58045136
"CRMS0309","Estuarine Herbaceous",3,NA
"CRMS0309","Estuarine Herbaceous",4,NA
"CRMS0309","Estuarine Herbaceous",5,NA
"CRMS0327","Palustrine Herbaceous",1,NA
"CRMS0327","Palustrine Herbaceous",2,NA
"CRMS0327","Palustrine Herbaceous",3,NA
"CRMS0327","Palustrine Herbaceous",4,NA
"CRMS0327","Palustrine Herbaceous",5,NA
"CRMS0331","Palustrine Herbaceous",1,86.11437572
"CRMS0331","Palustrine Herbaceous",2,81.95962199
"CRMS0331","Palustrine Herbaceous",3,84.96635166
"CRMS0331","Palustrine Herbaceous",4,NA
"CRMS0331","Palustrine Herbaceous",5,NA
"CRMS0337","Estuarine Herbaceous",1,78.08695652
"CRMS0337","Estuarine Herbaceous",2,69.1814093
"CRMS0337","Estuarine Herbaceous",3,57.664
"CRMS0337","Estuarine Herbaceous",4,NA
"CRMS0337","Estuarine Herbaceous",5,NA
"CRMS0367","Palustrine Herbaceous",1,75.37200049
"CRMS0367","Palustrine Herbaceous",2,57.52646073
"CRMS0367","Palustrine Herbaceous",3,63.38474803
"CRMS0367","Palustrine Herbaceous",4,NA
"CRMS0367","Palustrine Herbaceous",5,NA
"CRMS0377","Estuarine Herbaceous",1,59.56992595
"CRMS0377","Estuarine Herbaceous",2,52.19860896
"CRMS0377","Estuarine Herbaceous",3,51.55409583
"CRMS0377","Estuarine Herbaceous",4,NA
"CRMS0377","Estuarine Herbaceous",5,NA
"CRMS0398","Estuarine Herbaceous",1,56.13036463
"CRMS0398","Estuarine Herbaceous",2,49.6281122
"CRMS0398","Estuarine Herbaceous",3,62.89235131
"CRMS0398","Estuarine Herbaceous",4,NA
"CRMS0398","Estuarine Herbaceous",5,NA
"CRMS0399","Estuarine Herbaceous",1,72.70241201
"CRMS0399","Estuarine Herbaceous",2,NA
"CRMS0399","Estuarine Herbaceous",3,NA
"CRMS0399","Estuarine Herbaceous",4,NA
"CRMS0399","Estuarine Herbaceous",5,NA
"CRMS2825","Estuarine Herbaceous",1,53.97306748
"CRMS2825","Estuarine Herbaceous",2,44.11015337
"CRMS2825","Estuarine Herbaceous",3,37.10371166
"CRMS2825","Estuarine Herbaceous",4,NA
"CRMS2825","Estuarine Herbaceous",5,NA
"CRMS3166","Palustrine Herbaceous",1,73.88697789
"CRMS3166","Palustrine Herbaceous",2,83.95137183
"CRMS3166","Palustrine Herbaceous",3,73.01654382
"CRMS3166","Palustrine Herbaceous",4,NA
"CRMS3166","Palustrine Herbaceous",5,NA
"CRMS3565","Estuarine Herbaceous",1,88.98138904
"CRMS3565","Estuarine Herbaceous",2,79.42830762
"CRMS3565","Estuarine Herbaceous",3,88.43860033
"CRMS3565","Estuarine Herbaceous",4,NA
"CRMS3565","Estuarine Herbaceous",5,NA
"CRMS3617","Estuarine Herbaceous",1,83.62495905
"CRMS3617","Estuarine Herbaceous",2,76.4982801
"CRMS3617","Estuarine Herbaceous",3,78.89197379
"CRMS3617","Estuarine Herbaceous",4,NA
"CRMS3617","Estuarine Herbaceous",5,NA
"CRMS4045","Estuarine Herbaceous",1,73.36767915
"CRMS4045","Estuarine Herbaceous",2,68.28659136
"CRMS4045","Estuarine Herbaceous",3,75.44576579
"CRMS4045","Estuarine Herbaceous",4,NA
