"Site","Wetland_Type","Transect","AboveLive.g.m-2"
"BA-01-04","Estuarine Herbaceous",1,74.96
"BA-01-04","Estuarine Herbaceous",2,52.14
"BA-01-04","Estuarine Herbaceous",3,57.75
"BA-01-04","Estuarine Herbaceous",4,60.12
"BA-01-04","Estuarine Herbaceous",5,34.3
"CRMS0175","Estuarine Herbaceous",1,66.827
"CRMS0175","Estuarine Herbaceous",2,31.517
"CRMS0175","Estuarine Herbaceous",3,4.987
"CRMS0175","Estuarine Herbaceous",4,-8.483
"CRMS0175","Estuarine Herbaceous",5,22.857
"CRMS0211","Palustrine Herbaceous",1,56.91
"CRMS0211","Palustrine Herbaceous",2,11
"CRMS0211","Palustrine Herbaceous",3,11.09
"CRMS0211","Palustrine Herbaceous",4,56.88
"CRMS0211","Palustrine Herbaceous",5,51.53
"CRMS0224","Estuarine Herbaceous",1,266.997
"CRMS0224","Estuarine Herbaceous",2,169.619
"CRMS0224","Estuarine Herbaceous",3,427.687
"CRMS0224","Estuarine Herbaceous",4,224.829
"CRMS0224","Estuarine Herbaceous",5,164.599
"CRMS0225","Estuarine Herbaceous",1,72.327
"CRMS0225","Estuarine Herbaceous",2,20.347
"CRMS0225","Estuarine Herbaceous",3,58.527
"CRMS0225","Estuarine Herbaceous",4,21.907
"CRMS0225","Estuarine Herbaceous",5,58.017
"CRMS0237","Estuarine Herbaceous",1,61.2
"CRMS0237","Estuarine Herbaceous",2,316.8
"CRMS0237","Estuarine Herbaceous",3,185
"CRMS0237","Estuarine Herbaceous",4,84.68
"CRMS0237","Estuarine Herbaceous",5,161.19
"CRMS0253","Estuarine Herbaceous",1,54.257
"CRMS0253","Estuarine Herbaceous",2,42.517
"CRMS0253","Estuarine Herbaceous",3,69.177
"CRMS0253","Estuarine Herbaceous",4,49.787
"CRMS0253","Estuarine Herbaceous",5,51.357
"CRMS0273","Palustrine Herbaceous",1,26.19
"CRMS0273","Palustrine Herbaceous",2,26.29
"CRMS0273","Palustrine Herbaceous",3,27.46
"CRMS0273","Palustrine Herbaceous",4,74.69
"CRMS0273","Palustrine Herbaceous",5,35.34
"CRMS0305","Estuarine Herbaceous",1,10.3
"CRMS0305","Estuarine Herbaceous",2,93.14
"CRMS0305","Estuarine Herbaceous",3,12.91
"CRMS0305","Estuarine Herbaceous",4,148.06
"CRMS0305","Estuarine Herbaceous",5,177.64
"CRMS0309","Estuarine Herbaceous",1,59.82
"CRMS0309","Estuarine Herbaceous",2,39.7
"CRMS0309","Estuarine Herbaceous",3,61.06
"CRMS0309","Estuarine Herbaceous",4,42.6
"CRMS0309","Estuarine Herbaceous",5,19.89
"CRMS0327","Palustrine Herbaceous",1,23.257
"CRMS0327","Palustrine Herbaceous",2,24.037
"CRMS0327","Palustrine Herbaceous",3,23.037
"CRMS0327","Palustrine Herbaceous",4,20.287
"CRMS0327","Palustrine Herbaceous",5,40.137
"CRMS0331","Palustrine Herbaceous",1,11.75
"CRMS0331","Palustrine Herbaceous",2,11.17
"CRMS0331","Palustrine Herbaceous",3,15.68
"CRMS0331","Palustrine Herbaceous",4,90.61
"CRMS0331","Palustrine Herbaceous",5,11.62
"CRMS0337","Estuarine Herbaceous",1,59.626
"CRMS0337","Estuarine Herbaceous",2,78.266
"CRMS0337","Estuarine Herbaceous",3,134.246
"CRMS0337","Estuarine Herbaceous",4,32.367
"CRMS0337","Estuarine Herbaceous",5,68.346
"CRMS0367","Palustrine Herbaceous",1,3.62
"CRMS0367","Palustrine Herbaceous",2,14.95
"CRMS0367","Palustrine Herbaceous",3,11.43
"CRMS0367","Palustrine Herbaceous",4,7.03
"CRMS0367","Palustrine Herbaceous",5,19.22
"CRMS0377","Estuarine Herbaceous",1,99.477
"CRMS0377","Estuarine Herbaceous",2,114.447
"CRMS0377","Estuarine Herbaceous",3,65.287
"CRMS0377","Estuarine Herbaceous",4,82.637
"CRMS0377","Estuarine Herbaceous",5,35.627
"CRMS0398","Estuarine Herbaceous",1,448.27
"CRMS0398","Estuarine Herbaceous",2,118.32
"CRMS0398","Estuarine Herbaceous",3,71.93
"CRMS0398","Estuarine Herbaceous",4,144.6
"CRMS0398","Estuarine Herbaceous",5,176.83
"CRMS0399","Estuarine Herbaceous",1,55.857
"CRMS0399","Estuarine Herbaceous",2,56.067
"CRMS0399","Estuarine Herbaceous",3,61.257
"CRMS0399","Estuarine Herbaceous",4,12.667
"CRMS0399","Estuarine Herbaceous",5,24.457
"CRMS2825","Estuarine Herbaceous",1,354.577
"CRMS2825","Estuarine Herbaceous",2,798.617
"CRMS2825","Estuarine Herbaceous",3,542.907
"CRMS2825","Estuarine Herbaceous",4,709.497
"CRMS2825","Estuarine Herbaceous",5,50.177
"CRMS3166","Palustrine Herbaceous",1,100.22
"CRMS3166","Palustrine Herbaceous",2,125.11
"CRMS3166","Palustrine Herbaceous",3,72.06
"CRMS3166","Palustrine Herbaceous",4,139.92
"CRMS3166","Palustrine Herbaceous",5,44.22
"CRMS3565","Estuarine Herbaceous",1,201.606
"CRMS3565","Estuarine Herbaceous",2,345.486
"CRMS3565","Estuarine Herbaceous",3,133.307
"CRMS3565","Estuarine Herbaceous",4,61.256
"CRMS3565","Estuarine Herbaceous",5,440.376
"CRMS3617","Estuarine Herbaceous",1,190.087
"CRMS3617","Estuarine Herbaceous",2,108.867
"CRMS3617","Estuarine Herbaceous",3,31.42
"CRMS3617","Estuarine Herbaceous",4,142.347
"CRMS3617","Estuarine Herbaceous",5,92.827
"CRMS4045","Estuarine Herbaceous",1,65.066
"CRMS4045","Estuarine Herbaceous",2,69.486
"CRMS4045","Estuarine Herbaceous",3,10.416
"CRMS4045","Estuarine Herbaceous",4,38.126
"CRMS4045","Estuarine Herbaceous",5,19.366
"CRMS4245","Estuarine Herbaceous",1,243.954
"CRMS4245","Estuarine Herbaceous",2,450.974
"CRMS4245","Estuarine Herbaceous",3,331.354
"CRMS4245","Estuarine Herbaceous",4,40.986
"CRMS4245","Estuarine Herbaceous",5,164.566
"CRMS4455","Estuarine Herbaceous",1,218.27
"CRMS4455","Estuarine Herbaceous",2,192.12
"CRMS4455","Estuarine Herbaceous",3,271.85
"CRMS4455","Estuarine Herbaceous",4,592.81
"CRMS4455","Estuarine Herbaceous",5,259.59
