"Site","Wetland_Type","Transect","AboveDead.g.m-2.y-1"
"BA-01-04","Estuarine Herbaceous",1,584.23
"BA-01-04","Estuarine Herbaceous",2,854.65
"BA-01-04","Estuarine Herbaceous",3,720.78
"BA-01-04","Estuarine Herbaceous",4,635.71
"BA-01-04","Estuarine Herbaceous",5,598.45
"CRMS0175","Estuarine Herbaceous",1,251.197
"CRMS0175","Estuarine Herbaceous",2,116.117
"CRMS0175","Estuarine Herbaceous",3,111.997
"CRMS0175","Estuarine Herbaceous",4,103.147
"CRMS0175","Estuarine Herbaceous",5,65.187
"CRMS0211","Palustrine Herbaceous",1,264.42
"CRMS0211","Palustrine Herbaceous",2,201.98
"CRMS0211","Palustrine Herbaceous",3,405.44
"CRMS0211","Palustrine Herbaceous",4,391.71
"CRMS0211","Palustrine Herbaceous",5,306.04
"CRMS0224","Estuarine Herbaceous",1,407.947
"CRMS0224","Estuarine Herbaceous",2,353.719
"CRMS0224","Estuarine Herbaceous",3,422.537
"CRMS0224","Estuarine Herbaceous",4,336.099
"CRMS0224","Estuarine Herbaceous",5,358.859
"CRMS0225","Estuarine Herbaceous",1,238.127
"CRMS0225","Estuarine Herbaceous",2,351.477
"CRMS0225","Estuarine Herbaceous",3,182.597
"CRMS0225","Estuarine Herbaceous",4,128.877
"CRMS0225","Estuarine Herbaceous",5,235.227
"CRMS0237","Estuarine Herbaceous",1,215.52
"CRMS0237","Estuarine Herbaceous",2,332.09
"CRMS0237","Estuarine Herbaceous",3,299.07
"CRMS0237","Estuarine Herbaceous",4,288.78
"CRMS0237","Estuarine Herbaceous",5,364.38
"CRMS0253","Estuarine Herbaceous",1,319.767
"CRMS0253","Estuarine Herbaceous",2,253.787
"CRMS0253","Estuarine Herbaceous",3,373.167
"CRMS0253","Estuarine Herbaceous",4,336.047
"CRMS0253","Estuarine Herbaceous",5,510.167
"CRMS0273","Palustrine Herbaceous",1,510.14
"CRMS0273","Palustrine Herbaceous",2,554.15
"CRMS0273","Palustrine Herbaceous",3,418.09
"CRMS0273","Palustrine Herbaceous",4,410.1
"CRMS0273","Palustrine Herbaceous",5,326.11
"CRMS0305","Estuarine Herbaceous",1,80.83
"CRMS0305","Estuarine Herbaceous",2,233.08
"CRMS0305","Estuarine Herbaceous",3,95.86
"CRMS0305","Estuarine Herbaceous",4,195.77
"CRMS0305","Estuarine Herbaceous",5,303.85
"CRMS0309","Estuarine Herbaceous",1,317.03
"CRMS0309","Estuarine Herbaceous",2,328.49
"CRMS0309","Estuarine Herbaceous",3,407.13
"CRMS0309","Estuarine Herbaceous",4,231.35
"CRMS0309","Estuarine Herbaceous",5,95.58
"CRMS0327","Palustrine Herbaceous",1,234.597
"CRMS0327","Palustrine Herbaceous",2,350.267
"CRMS0327","Palustrine Herbaceous",3,420.097
"CRMS0327","Palustrine Herbaceous",4,292.437
"CRMS0327","Palustrine Herbaceous",5,451.587
"CRMS0331","Palustrine Herbaceous",1,419.96
"CRMS0331","Palustrine Herbaceous",2,482.48
"CRMS0331","Palustrine Herbaceous",3,317.34
"CRMS0331","Palustrine Herbaceous",4,363.18
"CRMS0331","Palustrine Herbaceous",5,286.8
"CRMS0337","Estuarine Herbaceous",1,203.266
"CRMS0337","Estuarine Herbaceous",2,154.716
"CRMS0337","Estuarine Herbaceous",3,276.716
"CRMS0337","Estuarine Herbaceous",4,37.067
"CRMS0337","Estuarine Herbaceous",5,255.294
"CRMS0367","Palustrine Herbaceous",1,182.87
"CRMS0367","Palustrine Herbaceous",2,137.36
"CRMS0367","Palustrine Herbaceous",3,78.68
"CRMS0367","Palustrine Herbaceous",4,118.32
"CRMS0367","Palustrine Herbaceous",5,63.91
"CRMS0377","Estuarine Herbaceous",1,363.387
"CRMS0377","Estuarine Herbaceous",2,158.067
"CRMS0377","Estuarine Herbaceous",3,289.477
"CRMS0377","Estuarine Herbaceous",4,197.587
"CRMS0377","Estuarine Herbaceous",5,419.577
"CRMS0398","Estuarine Herbaceous",1,365.57
"CRMS0398","Estuarine Herbaceous",2,236.39
"CRMS0398","Estuarine Herbaceous",3,197.02
"CRMS0398","Estuarine Herbaceous",4,337.01
"CRMS0398","Estuarine Herbaceous",5,246.74
"CRMS0399","Estuarine Herbaceous",1,527.347
"CRMS0399","Estuarine Herbaceous",2,709.987
"CRMS0399","Estuarine Herbaceous",3,695.457
"CRMS0399","Estuarine Herbaceous",4,237.387
"CRMS0399","Estuarine Herbaceous",5,121.897
"CRMS2825","Estuarine Herbaceous",1,1066.727
"CRMS2825","Estuarine Herbaceous",2,1191.687
"CRMS2825","Estuarine Herbaceous",3,1512.407
"CRMS2825","Estuarine Herbaceous",4,683.607
"CRMS2825","Estuarine Herbaceous",5,346.477
"CRMS3166","Palustrine Herbaceous",1,441.31
"CRMS3166","Palustrine Herbaceous",2,414.56
"CRMS3166","Palustrine Herbaceous",3,511.8
"CRMS3166","Palustrine Herbaceous",4,524.11
"CRMS3166","Palustrine Herbaceous",5,480.23
"CRMS3565","Estuarine Herbaceous",1,905.237
"CRMS3565","Estuarine Herbaceous",2,1292.784
"CRMS3565","Estuarine Herbaceous",3,721.564
"CRMS3565","Estuarine Herbaceous",4,524.414
"CRMS3565","Estuarine Herbaceous",5,285.534
"CRMS3617","Estuarine Herbaceous",1,566.657
"CRMS3617","Estuarine Herbaceous",2,458.427
"CRMS3617","Estuarine Herbaceous",3,364.5
"CRMS3617","Estuarine Herbaceous",4,425.447
"CRMS3617","Estuarine Herbaceous",5,254.437
"CRMS4045","Estuarine Herbaceous",1,222.534
"CRMS4045","Estuarine Herbaceous",2,225.144
"CRMS4045","Estuarine Herbaceous",3,182.544
"CRMS4045","Estuarine Herbaceous",4,242.584
"CRMS4045","Estuarine Herbaceous",5,176.926
"CRMS4245","Estuarine Herbaceous",1,252.214
"CRMS4245","Estuarine Herbaceous",2,543.554
"CRMS4245","Estuarine Herbaceous",3,355.924
"CRMS4245","Estuarine Herbaceous",4,184.044
"CRMS4245","Estuarine Herbaceous",5,359.054
"CRMS4455","Estuarine Herbaceous",1,390.03
"CRMS4455","Estuarine Herbaceous",2,266.77
"CRMS4455","Estuarine Herbaceous",3,385.02
"CRMS4455","Estuarine Herbaceous",4,494.31
"CRMS4455","Estuarine Herbaceous",5,338.92
