"V1","V2","V3"
"253","Brackish","18310.68785"
"309","Brackish","6798.13815"
"399","Brackish","8327.075925"
"2825","Brackish","10206.927675"
"3565","Brackish","9017.698275"
"3617","Brackish","8215.461675"
"211","Fresh","7953.9326"
"273","Fresh","8817.0282"
"327","Fresh","6957.012975"
"331","Fresh","10224.90855"
"367","Fresh","6524.213925"
"3166","Fresh","12248.4434571429"
"225","Intermediate","10113.884625"
"305","Intermediate","7070.132175"
"398","Intermediate","8704.9348"
"4045","Intermediate","23232.187425"
"4245","Intermediate","18195.0161142857"
"BA","Intermediate","7889.54385"
"175","Saline","6415.777575"
"224","Saline","7192.771275"
"237","Saline","5624.0523"
"337","Saline","6219.396225"
"377","Saline","5500.1748"
"4455","Saline","7725.138825"
