"V1","V2","V3"
"253","Brackish","5117.69961428571"
"309","Brackish","4909.97091428571"
"399","Brackish","4718.73488571429"
"2825","Brackish","6479.5347"
"3565","Brackish","4785.06484285714"
"3617","Brackish","6342.14712857143"
"211","Fresh","5517.99047142857"
"273","Fresh","6702.59088"
"327","Fresh","5934.117"
"331","Fresh","8352.55911428572"
"367","Fresh","6904.08635"
"3166","Fresh","7894.92025714286"
"225","Intermediate","6327.43264285714"
"305","Intermediate","3660.28825714286"
"398","Intermediate","5234.11071428571"
"4045","Intermediate","5131.802025"
"4245","Intermediate","7522.21152857143"
"BA","Intermediate","8560.31674285714"
"175","Saline","4937.68564285714"
"224","Saline","6044.83401428571"
"237","Saline","5642.88578571429"
"337","Saline","4724.89594285714"
"377","Saline","4768.41741428571"
"4455","Saline","4018.9677"
