"Site","Wetland_Type","Transect","BNPP.g.m-2.y-1"
"BA-01-04","Estuarine Herbaceous","1","4649.68152866242"
"BA-01-04","Estuarine Herbaceous","2","4326.75159235669"
"BA-01-04","Estuarine Herbaceous","3","3658.59872611465"
"BA-01-04","Estuarine Herbaceous","4","3057.32484076433"
"BA-01-04","Estuarine Herbaceous","5",NA
"CRMS0175","Estuarine Herbaceous","1","2529.29936305733"
"CRMS0175","Estuarine Herbaceous","2","1304.45859872611"
"CRMS0175","Estuarine Herbaceous","3","1608.91719745223"
"CRMS0175","Estuarine Herbaceous","4","989.171974522293"
"CRMS0175","Estuarine Herbaceous","5","2028.02547770701"
"CRMS0211","Palustrine Herbaceous","1","2587.89808917197"
"CRMS0211","Palustrine Herbaceous","2",NA
"CRMS0211","Palustrine Herbaceous","3",NA
"CRMS0211","Palustrine Herbaceous","4",NA
"CRMS0211","Palustrine Herbaceous","5","1464.33121019108"
"CRMS0224","Estuarine Herbaceous","1","2478.34394904459"
"CRMS0224","Estuarine Herbaceous","2","2285.9872611465"
"CRMS0224","Estuarine Herbaceous","3",NA
"CRMS0224","Estuarine Herbaceous","4",NA
"CRMS0224","Estuarine Herbaceous","5",NA
"CRMS0225","Estuarine Herbaceous","1","1817.83439490446"
"CRMS0225","Estuarine Herbaceous","2",NA
"CRMS0225","Estuarine Herbaceous","3",NA
"CRMS0225","Estuarine Herbaceous","4","2138.85350318471"
"CRMS0225","Estuarine Herbaceous","5",NA
"CRMS0237","Estuarine Herbaceous","1","2698.72611464968"
"CRMS0237","Estuarine Herbaceous","2","3172.61146496815"
"CRMS0237","Estuarine Herbaceous","3","2961.14649681529"
"CRMS0237","Estuarine Herbaceous","4","1326.75159235669"
"CRMS0237","Estuarine Herbaceous","5","1270.70063694268"
"CRMS0253","Estuarine Herbaceous","1","5225.47770700637"
"CRMS0253","Estuarine Herbaceous","2","2687.26114649682"
"CRMS0253","Estuarine Herbaceous","3","2399.36305732484"
"CRMS0253","Estuarine Herbaceous","4","1521.01910828025"
"CRMS0253","Estuarine Herbaceous","5","1161.14649681529"
"CRMS0273","Palustrine Herbaceous","1",NA
"CRMS0273","Palustrine Herbaceous","2",NA
"CRMS0273","Palustrine Herbaceous","3",NA
"CRMS0273","Palustrine Herbaceous","4","2230.57324840764"
"CRMS0273","Palustrine Herbaceous","5",NA
"CRMS0305",NA,"1",NA
"CRMS0305",NA,"2","4819.10828025478"
"CRMS0305",NA,"3","3795.54140127389"
"CRMS0305",NA,"4","5268.7898089172"
"CRMS0305",NA,"5","3940.12738853503"
"CRMS0309",NA,"1","2612.73885350319"
"CRMS0309",NA,"2","4817.1974522293"
"CRMS0309",NA,"3","5002.54777070064"
"CRMS0309",NA,"4","4192.35668789809"
"CRMS0309",NA,"5","2949.04458598726"
"CRMS0327",NA,"1","2414.0127388535"
"CRMS0327",NA,"2","1857.96178343949"
"CRMS0327",NA,"3",NA
