"Site","Wetland_Type","Transect","BelowLive.g.m-2"
"BA-01-04","Estuarine Herbaceous",1,52.5477707006369
"BA-01-04","Estuarine Herbaceous",2,43.0997876857749
"BA-01-04","Estuarine Herbaceous",3,26.7515923566879
"BA-01-04","Estuarine Herbaceous",4,66.135881104034
"BA-01-04","Estuarine Herbaceous",5,31.9745222929936
"CRMS0175","Estuarine Herbaceous",1,125.371549893843
"CRMS0175","Estuarine Herbaceous",2,71.8683651804671
"CRMS0175","Estuarine Herbaceous",3,148.619957537155
"CRMS0175","Estuarine Herbaceous",4,109.023354564756
"CRMS0175","Estuarine Herbaceous",5,5.9447983014862
"CRMS0211","Palustrine Herbaceous",1,232.165605095541
"CRMS0211","Palustrine Herbaceous",2,221.868365180467
"CRMS0211","Palustrine Herbaceous",3,175.690021231423
"CRMS0211","Palustrine Herbaceous",4,163.269639065817
"CRMS0211","Palustrine Herbaceous",5,164.012738853503
"CRMS0224","Estuarine Herbaceous",1,237.367303609342
"CRMS0224","Estuarine Herbaceous",2,92.9936305732484
"CRMS0224","Estuarine Herbaceous",3,43.4182590233546
"CRMS0224","Estuarine Herbaceous",4,206.581740976645
"CRMS0224","Estuarine Herbaceous",5,286.51804670913
"CRMS0225","Estuarine Herbaceous",1,106.157112526539
"CRMS0225","Estuarine Herbaceous",2,18.6836518046709
"CRMS0225","Estuarine Herbaceous",3,314.331210191083
"CRMS0225","Estuarine Herbaceous",4,255.944798301486
"CRMS0225","Estuarine Herbaceous",5,110.403397027601
"CRMS0237","Estuarine Herbaceous",1,95.1167728237792
"CRMS0237","Estuarine Herbaceous",2,424.734607218684
"CRMS0237","Estuarine Herbaceous",3,227.91932059448
"CRMS0237","Estuarine Herbaceous",4,190.339702760085
"CRMS0237","Estuarine Herbaceous",5,410.297239915074
"CRMS0253","Estuarine Herbaceous",1,81.3163481953291
"CRMS0253","Estuarine Herbaceous",2,67.0912951167728
"CRMS0253","Estuarine Herbaceous",3,49.5753715498938
"CRMS0253","Estuarine Herbaceous",4,170.488322717622
"CRMS0253","Estuarine Herbaceous",5,142.675159235669
"CRMS0273","Palustrine Herbaceous",1,94.6496815286624
"CRMS0273","Palustrine Herbaceous",2,299.490445859873
"CRMS0273","Palustrine Herbaceous",3,140.127388535032
"CRMS0273","Palustrine Herbaceous",4,351.486199575372
"CRMS0273","Palustrine Herbaceous",5,136.146496815287
"CRMS0305","Estuarine Herbaceous",1,125.732484076433
"CRMS0305","Estuarine Herbaceous",2,38.5350318471338
"CRMS0305","Estuarine Herbaceous",3,45.0106157112527
"CRMS0305","Estuarine Herbaceous",4,364.968152866242
"CRMS0305","Estuarine Herbaceous",5,112.101910828025
"CRMS0309","Estuarine Herbaceous",1,408.917197452229
"CRMS0309","Estuarine Herbaceous",2,384.713375796178
"CRMS0309","Estuarine Herbaceous",3,273.248407643312
"CRMS0309","Estuarine Herbaceous",4,335.031847133758
"CRMS0309","Estuarine Herbaceous",5,405.095541401274
"CRMS0327","Palustrine Herbaceous",1,42.7813163481953
"CRMS0327","Palustrine Herbaceous",2,554.564755838641
"CRMS0327","Palustrine Herbaceous",3,34.2887473460722
"CRMS0327","Palustrine Herbaceous",4,21.2738853503185
"CRMS0327","Palustrine Herbaceous",5,34.6072186836518
"CRMS0331","Palustrine Herbaceous",1,331.634819532909
"CRMS0331","Palustrine Herbaceous",2,338.726114649682
"CRMS0331","Palustrine Herbaceous",3,439.808917197452
"CRMS0331","Palustrine Herbaceous",4,135.350318471338
"CRMS0331","Palustrine Herbaceous",5,126.539278131635
"CRMS0337","Estuarine Herbaceous",1,194.692144373673
"CRMS0337","Estuarine Herbaceous",2,210.828025477707
"CRMS0337","Estuarine Herbaceous",3,172.08067940552
"CRMS0337","Estuarine Herbaceous",4,195.859872611465
"CRMS0337","Estuarine Herbaceous",5,248.513800424628
"CRMS0367","Palustrine Herbaceous",1,131.528662420382
"CRMS0367","Palustrine Herbaceous",2,143.842887473461
"CRMS0367","Palustrine Herbaceous",3,164.331210191083
"CRMS0367","Palustrine Herbaceous",4,311.35881104034
"CRMS0367","Palustrine Herbaceous",5,294.777070063694
"CRMS0377","Estuarine Herbaceous",1,111.889596602972
"CRMS0377","Estuarine Herbaceous",2,129.936305732484
"CRMS0377","Estuarine Herbaceous",3,42.1443736730361
"CRMS0377","Estuarine Herbaceous",4,2.33545647558386
"CRMS0377","Estuarine Herbaceous",5,5.4140127388535
"CRMS0398","Estuarine Herbaceous",1,132.802547770701
"CRMS0398","Estuarine Herbaceous",2,70.3821656050956
"CRMS0398","Estuarine Herbaceous",3,201.592356687898
"CRMS0398","Estuarine Herbaceous",4,159.447983014862
"CRMS0398","Estuarine Herbaceous",5,127.547770700637
"CRMS0399","Estuarine Herbaceous",1,136.624203821656
"CRMS0399","Estuarine Herbaceous",2,183.970276008493
"CRMS0399","Estuarine Herbaceous",3,242.569002123142
"CRMS0399","Estuarine Herbaceous",4,314.171974522293
"CRMS0399","Estuarine Herbaceous",5,309.076433121019
"CRMS2825","Estuarine Herbaceous",1,0
"CRMS2825","Estuarine Herbaceous",2,7.43099787685775
"CRMS2825","Estuarine Herbaceous",3,29.0870488322718
"CRMS2825","Estuarine Herbaceous",4,3.39702760084926
"CRMS2825","Estuarine Herbaceous",5,43.5244161358811
"CRMS3166","Palustrine Herbaceous",1,44.3736730360934
"CRMS3166","Palustrine Herbaceous",2,53.3970276008493
"CRMS3166","Palustrine Herbaceous",3,23.6730360934183
"CRMS3166","Palustrine Herbaceous",4,37.3673036093418
"CRMS3166","Palustrine Herbaceous",5,44.7983014861996
"CRMS3565","Estuarine Herbaceous",1,145.435244161359
"CRMS3565","Estuarine Herbaceous",2,103.927813163482
"CRMS3565","Estuarine Herbaceous",3,209.426751592357
"CRMS3565","Estuarine Herbaceous",4,210.509554140127
"CRMS3565","Estuarine Herbaceous",5,31.104033970276
"CRMS3617","Estuarine Herbaceous",1,72.3991507430998
"CRMS3617","Estuarine Herbaceous",2,38.3227176220807
"CRMS3617","Estuarine Herbaceous",3,1.16772823779193
"CRMS3617","Estuarine Herbaceous",4,29.1932059447983
"CRMS3617","Estuarine Herbaceous",5,22.2929936305733
"CRMS4045","Estuarine Herbaceous",1,165.286624203822
"CRMS4045","Estuarine Herbaceous",2,114.225053078556
"CRMS4045","Estuarine Herbaceous",3,256.369426751592
"CRMS4045","Estuarine Herbaceous",4,89.7027600849257
"CRMS4045","Estuarine Herbaceous",5,148.407643312102
"CRMS4245","Estuarine Herbaceous",1,28.9808917197452
"CRMS4245","Estuarine Herbaceous",2,2.4416135881104
"CRMS4245","Estuarine Herbaceous",3,36.1783439490446
"CRMS4245","Estuarine Herbaceous",4,41.0828025477707
"CRMS4245","Estuarine Herbaceous",5,108.811040339703
"CRMS4455","Estuarine Herbaceous",1,65.4989384288747
"CRMS4455","Estuarine Herbaceous",2,19.2144373673036
"CRMS4455","Estuarine Herbaceous",3,169.108280254777
"CRMS4455","Estuarine Herbaceous",4,262.738853503185
