Site.ID,Transect,Event,Year,Month,Core.Area.m2,Depth,Live.Roots.g,Dead.Roots.g,Dead.Macro.Organic.g,Live.Change.g,Dead.Change.g,Interval.Production.g,Sum.Intervals.g,Total NAPP.g.m-2.y-1
BA-01-04,1,T1,2012,06,0.00785,A 0-7.5,8.05,4.55,4.5,22.76,-2.02,22.76,44.25,2818.47
BA-01-04,1,T2,2012,10,0.00785,A 0-7.5,30.81,2.53,3.01,-28.77,0.04,0,NA,NA
BA-01-04,1,T3,2013,02,0.00785,A 0-7.5,2.04,2.57,3.37,11.63,1.6,13.23,NA,NA
BA-01-04,1,T4,2013,05,0.00785,A 0-7.5,13.67,4.17,1.7,-13.54,1.94,0,NA,NA
BA-01-04,1,T5,2013,07,0.00785,A 0-7.5,0.13,6.11,8.72,1.43,6.3,7.73,NA,NA
BA-01-04,1,T6,2013,10,0.00785,A 0-7.5,1.56,12.41,9.79,-1.56,-3.61,0,NA,NA
BA-01-04,1,T7,2014,02,0.00785,A 0-7.5,0,8.8,5.67,0.53,-3.64,0.53,NA,NA
BA-01-04,1,T8,2014,05,0.00785,A 0-7.5,0.53,5.16,6.19,-0.49,-0.36,0,NA,NA
BA-01-04,1,T9,2014,07,0.00785,A 0-7.5,0.04,4.8,5.05,NA,NA,NA,NA,NA
BA-01-04,2,T1,2012,06,0.00785,A 0-7.5,11.59,7.32,9.52,-8.06,-4.02,0,16.1,1025.48
BA-01-04,2,T2,2012,10,0.00785,A 0-7.5,3.53,3.3,6.43,-0.92,1.2,0.28,NA,NA
BA-01-04,2,T3,2013,02,0.00785,A 0-7.5,2.61,4.5,6.2,-1.55,1.82,0.27,NA,NA
BA-01-04,2,T4,2013,05,0.00785,A 0-7.5,1.06,6.32,4.25,-0.78,-2.91,0,NA,NA
BA-01-04,2,T5,2013,07,0.00785,A 0-7.5,0.28,3.41,4,-0.05,11.21,11.16,NA,NA
BA-01-04,2,T6,2013,10,0.00785,A 0-7.5,0.23,14.62,7.53,-0.23,-11.91,0,NA,NA
BA-01-04,2,T7,2014,02,0.00785,A 0-7.5,0,2.71,2.07,1,3.39,4.39,NA,NA
BA-01-04,2,T8,2014,05,0.00785,A 0-7.5,1,6.1,4.01,-0.98,-1.2,0,NA,NA
BA-01-04,2,T9,2014,07,0.00785,A 0-7.5,0.02,4.9,5.79,NA,NA,NA,NA,NA
BA-01-04,3,T1,2012,06,0.00785,A 0-7.5,28.69,2.51,3.37,-14.68,-1.01,0,12.15,773.89
BA-01-04,3,T2,2012,10,0.00785,A 0-7.5,14.01,1.5,5.93,-13.3,6.91,0,NA,NA
BA-01-04,3,T3,2013,02,0.00785,A 0-7.5,0.71,8.41,5.97,3.72,-8.41,3.72,NA,NA
BA-01-04,3,T4,2013,05,0.00785,A 0-7.5,4.43,0,7.07,-3.88,9.44,5.56,NA,NA
BA-01-04,3,T5,2013,07,0.00785,A 0-7.5,0.55,9.44,9.08,0.89,1.78,2.67,NA,NA
BA-01-04,3,T6,2013,10,0.00785,A 0-7.5,1.44,11.22,4.6,-1.44,-4.61,0,NA,NA
BA-01-04,3,T7,2014,02,0.00785,A 0-7.5,0,6.61,3.35,0.2,-2.06,0.2,NA,NA
BA-01-04,3,T8,2014,05,0.00785,A 0-7.5,0.2,4.55,4.96,-0.14,-1.29,0,NA,NA
BA-01-04,3,T9,2014,07,0.00785,A 0-7.5,0.06,3.26,2.79,NA,NA,NA,NA,NA
