"","Site","Habitat.Type.2014","Mode_Habitat_Type","Core.Increment.cm","Percent.Moisture","Bulk.Density.g.cm.3","LOI.percent","TC.percent","TC.g.cm.3","min.depth.cm","max.depth.cm","TC.g.m.2.per.cm"
"1","253","Brackish","Brackish","0-2",64.92973105,0.087629438,31.43789961,13.9941766,0.012263018,"0","2",122.63018
"2","253","Brackish","Brackish","2-4",53.16846229,0.073055939,35.88532884,15.89011568,0.011608673,"2","4",116.08673
"3","253","Brackish","Brackish","4-6",59.35743415,0.075121133,35.11191047,15.56040743,0.011689154,"4","6",116.89154
"4","253","Brackish","Brackish","8-10",69.14684341,0.103840324,34.8207009,15.43626479,0.016029067,"8","10",160.29067
"5","253","Brackish","Brackish","12-14",70.10009724,0.130756608,29.08791144,12.99237665,0.016988391,"12","14",169.88391
"6","253","Brackish","Brackish","16-18",75.69486516,0.160395078,32.63923393,14.50630542,0.0232674,"16","18",232.674
"7","253","Brackish","Brackish","22-24",77.17913671,0.159860318,39.06265466,17.24460968,0.027567288,"22","24",275.67288
"8","253","Brackish","Brackish","38-40",65.48595315,0.209417347,18.48577447,8.472685656,0.017743274,"38","40",177.43274
"9","253","Brackish","Brackish","58-60",78.89068466,0.152330379,46.90706874,20.5886834,0.031362819,"58","60",313.62819
"10","253","Brackish","Brackish","78-80",80.83379305,0.13005378,52.70707665,23.06122678,0.029991997,"78","80",299.91997
"11","253","Brackish","Brackish","98-100",75.07375514,0.222681957,25.50917892,11.46676297,0.025534412,"98","100",255.34412
"12","309","Brackish","Brackish","0-2",65.48137769,0.154326819,21.10854108,9.590771062,0.014801132,"0","2",148.01132
"13","309","Brackish","Brackish","2-4",66.65642938,0.196292794,19.19159081,8.773575163,0.017221896,"2","4",172.21896
"14","309","Brackish","Brackish","4-6",71.00639988,0.169239,21.53853266,9.774076473,0.016541549,"4","6",165.41549
"15","309","Brackish","Brackish","8-10",65.78565621,0.163965242,16.65990589,7.694317881,0.012616007,"8","10",126.16007
"16","309","Brackish","Brackish","12-14",69.8366311,0.155859799,23.10052337,10.43995311,0.01627169,"12","14",162.7169
"17","309","Brackish","Brackish","16-18",67.25116462,0.20336182,17.51370204,8.058291181,0.016387488,"16","18",163.87488
"18","309","Brackish","Brackish","22-24",70.87141559,0.200782237,22.82556607,10.32273882,0.020726226,"22","24",207.26226
"19","309","Brackish","Brackish","38-40",66.93239137,0.281294266,17.45730167,8.034247701,0.022599878,"38","40",225.99878
"20","309","Brackish","Brackish","58-60",61.93943781,0.243700595,15.61723886,7.249828926,0.017667876,"58","60",176.67876
