Site ID,Wetland Type Stagg,Wetland Subclass LUCAS,Transect,Year,Aboveground NPP ,Belowground NPP,Aboveground Mortality,Belowground Mortality ,AGVF.annual.percent.loss,BGVF.annual.percent.loss,AGVF.percent.lignin,BGVF.percent.lignin,Foliage Live Stock,Fine Roots Live Stock,AGVF.DOM.Stock,BGVF.DOM.Stock
211,1,Palustrine Herbaceous,1,1,857.3805624,1399.949725,691.4244886,2529.704087,NA,NA,NA,NA,432.8168061,368.7040892,289.0728209,862.8332955
211,1,Palustrine Herbaceous,2,1,687.3161421,1824.756879,552.713694,1649.505164,NA,NA,NA,NA,399.0913159,677.1771287,176.542572,630.9139873
211,1,Palustrine Herbaceous,3,1,426.4231596,1906.003124,403.1771556,2030.405572,NA,NA,NA,NA,283.6317192,405.2930446,212.9562233,848.2288051
211,1,Palustrine Herbaceous,4,1,779.957363,1712.363113,667.0998922,1816.125638,NA,NA,NA,NA,371.7889041,353.5056,176.7409214,516.4147822
211,1,Palustrine Herbaceous,5,1,596.1586351,1792.858815,424.2469305,2177.324301,NA,NA,NA,NA,383.059589,262.877572,267.3866155,607.5468025
273,1,Palustrine Herbaceous,1,1,261.0882024,2337.744801,295.0628503,2387.891652,NA,NA,NA,NA,212.0787291,785.4461924,293.3799255,699.8566338
273,1,Palustrine Herbaceous,2,1,358.3526413,1206.341677,280.5763006,1603.008908,NA,NA,NA,NA,331.2071273,811.3647898,347.5280894,1142.335261
273,1,Palustrine Herbaceous,3,1,155.5074109,1508.349682,326.5174422,769.6696548,NA,NA,NA,NA,190.2315366,702.6193701,166.620775,606.4248917
273,1,Palustrine Herbaceous,4,1,458.5898408,2193.502171,529.4683036,2432.404026,NA,NA,NA,NA,196.8544384,1866.702464,243.3779234,541.1989586
273,1,Palustrine Herbaceous,5,1,357.0615946,8298.458767,425.8106686,1907.834152,NA,NA,NA,NA,292.8278305,737.5531318,339.2180472,393.1184618
327,1,Palustrine Herbaceous,1,1,422.5278002,3323.912535,359.8612902,1867.060569,NA,NA,NA,NA,367.6751267,1025.52151,112.0314703,994.8621783
327,1,Palustrine Herbaceous,2,1,510.5039896,2638.193455,332.9097867,3121.031586,NA,NA,NA,NA,363.033406,422.4370446,73.37806872,689.5424064
327,1,Palustrine Herbaceous,3,1,358.34412,1779.793969,301.4182539,2579.274604,NA,NA,NA,NA,313.319429,95.60417325,101.9226463,313.8961701
327,1,Palustrine Herbaceous,4,1,145.0414711,914.3538662,237.5199656,2146.647192,NA,NA,NA,NA,178.3158839,149.5204803,66.85016712,392.2272726
327,1,Palustrine Herbaceous,5,1,324.5825725,2074.944062,270.9370744,895.8259257,NA,NA,NA,NA,224.6838856,106.1650994,103.3961359,520.8732439
331,1,Palustrine Herbaceous,1,1,336.4708309,1398.466168,210.8553029,1526.603367,NA,NA,NA,NA,242.1238581,721.4143376,201.410715,247.6678338
331,1,Palustrine Herbaceous,2,1,862.2176399,1091.546159,562.2808077,1461.677981,NA,NA,NA,NA,464.5858749,1891.784866,649.2081318,228.0550955
331,1,Palustrine Herbaceous,3,1,300.3610542,2317.322223,316.6223319,2035.153828,NA,NA,NA,NA,227.4966835,103.9567771,170.352779,7.753873248
331,1,Palustrine Herbaceous,4,1,212.4961936,1058.417076,83.50385848,1429.881677,NA,NA,NA,NA,189.1979213,12.56620382,161.820379,155.077465
331,1,Palustrine Herbaceous,5,1,428.7306314,1096.496482,321.5942138,1045.279682,NA,NA,NA,NA,187.7725354,11.99501274,341.3762046,366.2564834
367,1,Palustrine Herbaceous,1,1,640.6008476,1174.253285,443.4324807,1426.277257,NA,NA,NA,NA,483.184794,206.8603841,93.9577158,308.7699236
367,1,Palustrine Herbaceous,2,1,748.1547617,4988.810808,870.1441338,4362.839763,NA,NA,NA,NA,246.5523741,878.1808758,41.3734698,387.5204178
367,1,Palustrine Herbaceous,3,1,849.3272472,1846.131352,923.9521608,1121.097787,NA,NA,NA,NA,274.3945284,550.3266822,88.2520938,500.8304815
367,1,Palustrine Herbaceous,4,1,563.8976976,1599.311415,452.413431,1807.472808,NA,NA,NA,NA,268.1287491,391.9753369,114.8269278,444.742
367,1,Palustrine Herbaceous,5,1,646.2970106,1116.265469,577.2405279,1950.955482,NA,NA,NA,NA,231.172734,507.3933949,173.7336198,329.165735
3166,1,Palustrine Herbaceous,1,1,341.8501684,874.4945287,551.9527069,1179.194229,NA,NA,NA,NA,262.5415045,0.638783439,43.35477272,457.9787809
3166,1,Palustrine Herbaceous,2,1,441.650991,836.1675223,383.9991215,874.4945287,NA,NA,NA,NA,410.0780175,33.85552229,136.3339975,463.1712841
3166,1,Palustrine Herbaceous,3,1,655.8177731,1244.988924,545.6214974,1195.163815,NA,NA,NA,NA,475.8184345,8.942968153,294.1569607,315.7041936
3166,1,Palustrine Herbaceous,4,1,259.7026048,1681.916796,416.0945037,1991.726764,NA,NA,NA,NA,152.4362909,1890.160197,27.30523432,598.1763669
3166,1,Palustrine Herbaceous,5,1,770.6997509,1384.243713,487.4056822,1359.969943,NA,NA,NA,NA,382.2162223,231.2396051,164.4844975,480.8257949
225,2,Estuarine Herbaceous,1,1,540.5860346,2670.965146,596.2179726,2025.468086,NA,NA,NA,NA,589.4179965,387.9614178,251.5889559,1428.279329
225,2,Estuarine Herbaceous,2,1,341.5376728,2037.073769,418.6241729,1471.71119,NA,NA,NA,NA,332.75595,375.8030828,77.72701714,698.6087503
225,2,Estuarine Herbaceous,3,1,363.3075911,1603.242269,354.4724473,1760.747973,NA,NA,NA,NA,338.0980498,393.4879338,128.179325,1150.981918
225,2,Estuarine Herbaceous,4,1,381.7068168,2979.344734,481.9194392,2259.23971,NA,NA,NA,NA,269.4434511,331.5909554,205.620537,1281.441596
225,2,Estuarine Herbaceous,5,1,497.6527848,2664.885978,270.1878986,1881.22602,NA,NA,NA,NA,394.8966335,727.8421471,278.355377,548.9472153
305,2,Estuarine Herbaceous,1,1,628.4898285,4160.662694,689.9857021,3800.377223,NA,NA,NA,NA,333.5979707,682.5009618,25.1865124,2981.588673
305,2,Estuarine Herbaceous,2,1,853.1831195,4650.055057,818.5144108,4336.11565,NA,NA,NA,NA,385.0739965,283.5937707,44.0382404,2825.076043
305,2,Estuarine Herbaceous,3,1,384.2672172,4617.502465,388.9553064,4735.57458,NA,NA,NA,NA,399.7012556,224.0059745,44.8265244,3067.462859
305,2,Estuarine Herbaceous,4,1,352.5362373,5515.733318,322.7432816,5613.942834,NA,NA,NA,NA,342.4900814,499.8754013,51.0489364,2857.394285
305,2,Estuarine Herbaceous,5,1,339.320842,4367.564764,357.005093,3773.893758,NA,NA,NA,NA,311.5693886,669.8109682,105.2560404,2582.227539
398,2,Estuarine Herbaceous,1,1,1371.67524,1649.980525,561.1180376,1729.197697,NA,NA,NA,NA,1164.385321,58.2812051,448.7279499,484.2890828
398,2,Estuarine Herbaceous,2,1,264.0580041,907.7910684,273.6176807,2425.742973,NA,NA,NA,NA,190.2137224,0,101.1810469,115.7100955
398,2,Estuarine Herbaceous,3,1,218.4663695,1896.119595,125.5027345,1867.261911,NA,NA,NA,NA,153.1097162,87.13888917,81.45961159,542.9907898
398,2,Estuarine Herbaceous,4,1,452.7036819,1136.766418,415.2916359,1498.336224,NA,NA,NA,NA,241.6407103,594.1287898,142.9878447,374.2233822
398,2,Estuarine Herbaceous,5,1,510.9336511,1275.396469,134.381939,1471.741888,NA,NA,NA,NA,441.2922856,95.62644331,189.0265683,537.9108344
4045,2,Estuarine Herbaceous,1,1,302.5754368,2150.155975,235.762023,3269.954344,NA,NA,NA,NA,NA,334.8662217,NA,0
4045,2,Estuarine Herbaceous,2,1,281.0428336,1700.626693,354.3416053,1701.699982,NA,NA,NA,NA,171.3768219,5.36644586,68.45622052,853.3335707
4045,2,Estuarine Herbaceous,3,1,525.5553741,2263.030219,224.1996386,2158.384525,NA,NA,NA,NA,458.1584859,155.0902854,123.8344017,762.2119873
4045,2,Estuarine Herbaceous,4,1,230.59228,920.345465,243.5454117,1800.979231,NA,NA,NA,NA,274.1162731,0,106.007521,795.451307
4045,2,Estuarine Herbaceous,5,1,275.0002768,2417.58386,300.3902053,3093.219394,NA,NA,NA,NA,233.1931371,10.73289172,156.7417248,1249.913041
4245,2,Estuarine Herbaceous,1,1,209.3766324,1366.070287,237.9734108,1331.226783,NA,NA,NA,NA,123.4903085,0.512404459,92.12083199,356.1713159
4245,2,Estuarine Herbaceous,2,1,635.4517929,1368.632309,655.5984144,927.9644745,NA,NA,NA,NA,148.9981376,0,37.35141239,570.2008682
4245,2,Estuarine Herbaceous,3,1,281.0487539,2895.768397,338.4893637,1600.92233,NA,NA,NA,NA,243.1300521,259.2766561,11.44830695,444.9418427
4245,2,Estuarine Herbaceous,4,1,202.7203636,1490.58457,643.9585988,1973.26957,NA,NA,NA,NA,20.76661444,316.153551,10.46611979,197.6914185
4245,2,Estuarine Herbaceous,5,1,384.5010183,3793.67181,584.4141045,2762.543238,NA,NA,NA,NA,283.4767971,14.34732484,115.3936735,1178.524048
BA,2,Estuarine Herbaceous,1,1,376.8354735,4078.209101,294.2030346,4556.379548,NA,NA,NA,NA,321.8141286,1287.734801,320.6611045,1818.791582
BA,2,Estuarine Herbaceous,2,1,657.8865116,2783.59415,724.6879637,3411.981212,NA,NA,NA,NA,206.4264157,430.5827408,457.0336227,1254.948516
BA,2,Estuarine Herbaceous,3,1,547.4388958,2330.65092,644.8365565,3970.42008,NA,NA,NA,NA,108.7096734,13.76030064,476.2271887,1740.430946
BA,2,Estuarine Herbaceous,4,1,598.4271778,2085.832238,433.8539134,1531.406792,NA,NA,NA,NA,398.3451426,774.5902567,241.8335753,1439.361138
BA,2,Estuarine Herbaceous,5,1,561.0444094,3571.944707,608.8143395,1453.431755,NA,NA,NA,NA,490.7654529,657.0543554,128.9932617,513.1737828
253,3,Estuarine Herbaceous,1,1,284.5851721,3257.109875,378.3652421,3633.03308,NA,NA,NA,NA,302.2093085,1372.146436,256.210054,1263.435799
253,3,Estuarine Herbaceous,2,1,743.1130536,1982.821116,787.8999037,2514.88881,NA,NA,NA,NA,452.292991,370.5757911,167.9477249,995.3840217
253,3,Estuarine Herbaceous,3,1,401.0615191,2681.728127,302.0734026,1812.77335,NA,NA,NA,NA,431.0010745,475.9198471,119.3684395,1168.926822
253,3,Estuarine Herbaceous,4,1,443.7124661,2238.427506,392.6773026,2193.509228,NA,NA,NA,NA,341.8401255,602.1188178,237.1198462,863.8452115
253,3,Estuarine Herbaceous,5,1,389.2830121,2111.159052,340.0767051,2715.416836,NA,NA,NA,NA,306.957624,748.1032204,388.59501,894.7955197
309,3,Estuarine Herbaceous,1,1,413.1127873,3603.410155,516.1031089,3666.028657,NA,NA,NA,NA,232.3742172,179.057865,64.80005951,1810.211006
309,3,Estuarine Herbaceous,2,1,798.8965074,1689.147027,799.9570578,3970.323526,NA,NA,NA,NA,312.2159564,734.3442497,79.51699379,1099.096963
309,3,Estuarine Herbaceous,3,1,595.6216482,2284.799057,680.600479,4923.05627,NA,NA,NA,NA,230.7500972,1205.794293,80.50649951,1347.225575
309,3,Estuarine Herbaceous,4,1,743.075503,2247.020953,659.8279842,3600.822614,NA,NA,NA,NA,336.6752036,103.5016561,81.00910559,1538.397391
309,3,Estuarine Herbaceous,5,1,660.4565186,1575.295205,517.1490422,2114.021325,NA,NA,NA,NA,402.1272396,648.9553834,43.09375943,1255.305203
399,3,Estuarine Herbaceous,1,1,358.2516746,1910.514569,657.6290241,2312.840796,NA,NA,NA,NA,217.3639065,57.78089427,740.1104591,1584.391684
399,3,Estuarine Herbaceous,2,1,546.9493817,3119.633282,703.5665022,3413.352828,NA,NA,NA,NA,135.7355193,233.2636102,49.85484266,2400.416946
399,3,Estuarine Herbaceous,3,1,76.44887782,4075.693079,207.0662239,3930.705835,NA,NA,NA,NA,165.1087899,35.84555478,293.5995355,996.069772
399,3,Estuarine Herbaceous,4,1,110.7801657,3652.679865,185.5303689,4440.212054,NA,NA,NA,NA,74.07550392,256.8039745,117.5807527,1265.606994
399,3,Estuarine Herbaceous,5,1,172.3890675,3153.51714,397.7028395,4459.294016,NA,NA,NA,NA,159.5203718,33.17051338,216.2376859,790.607214
2825,3,Estuarine Herbaceous,1,1,1492.76047,486.2141146,1364.828424,429.1163312,NA,NA,NA,NA,262.5747711,277.248,49.14486624,71.86856815
2825,3,Estuarine Herbaceous,2,1,1139.581695,1288.918692,1029.262276,1293.235363,NA,NA,NA,NA,189.7997523,13.53864968,479.9119019,104.2683325
2825,3,Estuarine Herbaceous,3,1,844.3296886,8588.212994,821.0363184,6846.43628,NA,NA,NA,NA,170.4526835,28.25457325,462.7915829,3847.913829
2825,3,Estuarine Herbaceous,4,1,945.3564346,1585.787924,2156.431092,1453.933248,NA,NA,NA,NA,409.8413694,770.525758,474.4645277,521.930749
2825,3,Estuarine Herbaceous,5,1,640.6311594,740.5052739,533.9415513,848.8144713,NA,NA,NA,NA,310.2450906,300.7934777,124.9836349,467.145693
3565,3,Estuarine Herbaceous,1,1,985.0034365,1244.961,754.1692619,2279.520948,NA,NA,NA,NA,384.108759,7.401042038,259.7057753,471.8021338
3565,3,Estuarine Herbaceous,2,1,979.3742396,3038.656403,1089.454544,2318.640741,NA,NA,NA,NA,220.5687528,16.91666752,464.7195358,1057.859965
3565,3,Estuarine Herbaceous,3,1,885.9783372,3214.166828,491.427471,4211.721566,NA,NA,NA,NA,510.5978369,10.04427134,594.7250081,1326.161901
3565,3,Estuarine Herbaceous,4,1,759.8355627,2845.172018,862.8484515,4196.919482,NA,NA,NA,NA,136.0424574,235.7760535,43.8359909,1155.062573
3565,3,Estuarine Herbaceous,5,1,670.8868318,3713.737166,615.5719336,4809.091387,NA,NA,NA,NA,313.3285878,74.53906624,404.2026221,1535.914898
3617,3,Estuarine Herbaceous,1,1,128.6929538,3046.444413,549.9851965,3652.637839,NA,NA,NA,NA,134.1610009,343.0796841,69.60485121,2028.5586
3617,3,Estuarine Herbaceous,2,1,468.5574315,3846.748713,700.4591169,3683.592397,NA,NA,NA,NA,140.8973823,144.4546038,40.10551131,1471.842573
3617,3,Estuarine Herbaceous,3,1,88.63253538,3223.143348,473.8746118,3257.322339,NA,NA,NA,NA,70.20046252,1130.486252,18.30771201,1353.870459
3617,3,Estuarine Herbaceous,4,1,185.0189265,12932.77132,459.7948729,13288.10385,NA,NA,NA,NA,11.15186896,510.1053197,18.41225781,1415.103604
3617,3,Estuarine Herbaceous,5,1,286.7032009,2539.563526,523.6396297,6996.374986,NA,NA,NA,NA,110.7766351,27.08523822,14.75315481,2260.570425
175,4,Estuarine Herbaceous,1,1,288.914913,2411.576163,148.6676825,2140.83571,NA,NA,NA,NA,251.0627711,1210.492066,127.26,1652.733715
175,4,Estuarine Herbaceous,2,1,227.7411444,2277.773931,216.9587774,2165.400963,NA,NA,NA,NA,165.5119106,9.930634395,112.07,1346.018825
175,4,Estuarine Herbaceous,3,1,80.2884936,1552.83762,169.6340426,1418.512724,NA,NA,NA,NA,56.25879105,38.67720764,12.58,1069.22734
175,4,Estuarine Herbaceous,4,1,484.4136717,2345.720377,457.2591272,2392.760224,NA,NA,NA,NA,171.3626786,120.2129427,77.07,999.227949
175,4,Estuarine Herbaceous,5,1,184.4055696,2092.227868,133.2495791,2194.670201,NA,NA,NA,NA,109.7800211,684.6911083,83.24,1316.629768
224,4,Estuarine Herbaceous,1,1,659.8936417,975.6267261,441.5686626,1256.403022,NA,NA,NA,NA,384.2103604,352.813851,294.34,1692.54699
224,4,Estuarine Herbaceous,2,1,415.9028329,2225.790275,339.0139322,2621.145989,NA,NA,NA,NA,263.3551317,263.759551,384.05,1179.219455
224,4,Estuarine Herbaceous,3,1,1578.87524,4565.025518,1703.01017,4807.230525,NA,NA,NA,NA,232.6620096,276.2384975,126.16,1969.571794
224,4,Estuarine Herbaceous,4,1,359.4200228,1752.724758,623.2264741,3113.497151,NA,NA,NA,NA,323.0107521,159.3901803,230.04,2159.416949
224,4,Estuarine Herbaceous,5,1,595.7180391,4116.917894,335.9089895,4137.905213,NA,NA,NA,NA,621.4245893,260.9234268,492.06,1744.740069
237,4,Estuarine Herbaceous,1,1,297.169423,1584.042349,388.4734151,1678.933926,NA,NA,NA,NA,259.4798779,584.9850064,241.75,744.6923567
237,4,Estuarine Herbaceous,2,1,807.4253186,1637.958018,552.2557653,1604.530303,NA,NA,NA,NA,479.1233695,718.1567083,337.71,1074.675796
237,4,Estuarine Herbaceous,3,1,414.8163218,2125.89482,325.2697439,2024.533363,NA,NA,NA,NA,281.680546,1245.451949,152.93,727.9702229
237,4,Estuarine Herbaceous,4,1,294.4467623,1501.551376,449.9729271,1258.39171,NA,NA,NA,NA,160.3424116,887.4519083,91.79,1215.699124
237,4,Estuarine Herbaceous,5,1,414.0041834,2537.81053,347.5070248,3018.199139,NA,NA,NA,NA,275.8890674,1717.214051,313.29,1100.316401
337,4,Estuarine Herbaceous,1,1,95.94471294,1243.037694,144.4323611,1192.399366,NA,NA,NA,NA,128.85046,1092.721815,57.08,1724.562161
337,4,Estuarine Herbaceous,2,1,77.65023888,2312.839003,180.308327,2847.47314,NA,NA,NA,NA,123.0331738,386.4503981,29.95,1815.018711
337,4,Estuarine Herbaceous,3,1,181.9173981,1489.299879,156.5141678,1830.975334,NA,NA,NA,NA,171.094653,686.016086,75.29,1603.06135
337,4,Estuarine Herbaceous,4,1,183.9331931,3093.20229,194.5193578,2610.272551,NA,NA,NA,NA,152.4274837,1.599105096,87.29,1206.444168
337,4,Estuarine Herbaceous,5,1,225.9894181,2399.190678,255.0807106,2513.79321,NA,NA,NA,NA,140.306787,223.3416783,18.59,1309.746619
377,4,Estuarine Herbaceous,1,1,386.1479858,1966.785641,292.4115953,2638.06825,NA,NA,NA,NA,195.1856211,126.1887185,73.83,1857.754334
377,4,Estuarine Herbaceous,2,1,288.2136379,1746.47255,351.6518742,2015.399327,NA,NA,NA,NA,102.6922577,332.0211363,174.22,1955.097159
377,4,Estuarine Herbaceous,3,1,314.5415264,2793.218313,183.6323837,2774.083139,NA,NA,NA,NA,248.4148433,500.100372,76.46,2441.296242
377,4,Estuarine Herbaceous,4,1,335.1417076,2100.214696,285.4256815,2422.926828,NA,NA,NA,NA,201.9489031,678.5229452,127.1,1480.228987
